,Unnamed: 0,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1623,1623,20220531,4386,ＳＩＧグループ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1624,1624,20220531,4387,ＺＵＵ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1625,1625,20220531,4388,エーアイ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1626,1626,20220531,4389,プロパティデータバンク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1627,1627,20220531,4390,ＩＰＳ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1628,1628,20220531,4391,ロジザード,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1629,1629,20220531,4392,ＦＩＧ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1630,1630,20220531,4393,バンク・オブ・イノベーション,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1631,1631,20220531,4394,エクスモーション,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1632,1632,20220531,4395,アクリート,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1633,1633,20220531,4396,システムサポート,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1634,1634,20220531,4397,チームスピリット,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1635,1635,20220531,4398,ブロードバンドセキュリティ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1642,1642,20220531,4412,サイエンスアーツ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1643,1643,20220531,4413,ボードルア,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1644,1644,20220531,4414,フレクト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1645,1645,20220531,4415,ブロードエンタープライズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1646,1646,20220531,4416,Ｔｒｕｅ　Ｄａｔａ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1647,1647,20220531,4417,グローバルセキュリティエキスパート,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1648,1648,20220531,4418,ＪＤＳＣ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1649,1649,20220531,4419,Ｆｉｎａｔｅｘｔホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1650,1650,20220531,4420,イーソル,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1651,1651,20220531,4421,ディ・アイ・システム,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1652,1652,20220531,4422,ＶＡＬＵＥＮＥＸ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1653,1653,20220531,4423,アルテリア・ネットワークス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1654,1654,20220531,4424,Ａｍａｚｉａ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1655,1655,20220531,4425,Ｋｕｄａｎ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1656,1656,20220531,4426,パスロジ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1657,1657,20220531,4427,ＥｄｕＬａｂ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1658,1658,20220531,4428,シノプス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1659,1659,20220531,4429,リックソフト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1660,1660,20220531,4430,東海ソフト,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1661,1661,20220531,4431,スマレジ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1662,1662,20220531,4432,ウイングアーク１ｓｔ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
